,500,5000,25000
0,0.0,0.0,-1.0
1,-1.0,1.0,-1.0
2,0.0,-1.0,-2.0
3,1.0,0.0,0.0
4,1.0,-1.0,0.0
5,1.0,0.0,-1.0
6,0.0,-3.0,-1.0
7,0.0,-1.0,0.0
8,-1.0,-1.0,-1.0
9,1.0,1.0,1.0
10,2.0,0.0,0.0
11,0.0,0.0,-2.0
12,1.0,1.0,-1.0
13,0.0,0.0,-1.0
14,0.0,-1.0,0.0
15,-1.0,0.0,0.0
16,1.0,-1.0,-1.0
17,2.0,-1.0,1.0
18,-2.0,0.0,0.0
19,-1.0,-2.0,1.0
20,1.0,0.0,0.0
21,0.0,0.0,2.0
22,-2.0,0.0,1.0
23,0.0,1.0,1.0
24,-1.0,0.0,1.0
25,-1.0,1.0,-1.0
26,1.0,4.0,-2.0
27,-1.0,0.0,2.0
28,0.0,2.0,2.0
29,0.0,-1.0,-3.0
30,1.0,0.0,0.0
31,0.0,-1.0,1.0
32,1.0,0.0,0.0
33,0.0,0.0,2.0
34,0.0,2.0,0.0
35,0.0,0.0,0.0
36,0.0,1.0,2.0
37,2.0,1.0,0.0
38,-1.0,2.0,1.0
39,1.0,2.0,-1.0
40,0.0,1.0,1.0
41,0.0,1.0,0.0
42,2.0,-2.0,1.0
43,-2.0,2.0,1.0
44,-1.0,2.0,3.0
45,-1.0,-1.0,-1.0
46,1.0,-1.0,0.0
47,-1.0,3.0,1.0
48,-1.0,0.0,0.0
49,1.0,3.0,2.0
50,3.0,-1.0,3.0
51,-1.0,2.0,1.0
52,-2.0,1.0,0.0
53,2.0,3.0,1.0
54,0.0,2.0,-1.0
55,-1.0,2.0,0.0
56,1.0,0.0,3.0
57,0.0,2.0,2.0
58,0.0,-1.0,1.0
59,-1.0,4.0,2.0
60,-1.0,-3.0,0.0
61,1.0,2.0,1.0
62,1.0,0.0,1.0
63,1.0,4.0,2.0
64,1.0,1.0,3.0
65,2.0,0.0,1.0
66,-1.0,-1.0,2.0
67,1.0,3.0,-2.0
68,-1.0,-1.0,4.0
69,0.0,1.0,4.0
70,0.0,1.0,0.0
71,3.0,1.0,2.0
72,2.0,1.0,3.0
73,1.0,2.0,3.0
74,1.0,0.0,1.0
75,2.0,5.0,0.0
76,0.0,4.0,1.0
77,2.0,1.0,2.0
78,0.0,1.0,4.0
79,2.0,1.0,1.0
80,3.0,2.0,0.0
81,2.0,1.0,2.0
82,2.0,4.0,3.0
83,2.0,3.0,-1.0
84,2.0,2.0,0.0
85,3.0,-1.0,0.0
86,1.0,0.0,0.0
87,1.0,4.0,3.0
88,4.0,2.0,5.0
89,2.0,7.0,0.0
90,2.0,3.0,1.0
91,0.0,5.0,3.0
92,2.0,1.0,1.0
93,1.0,5.0,5.0
94,1.0,3.0,1.0
95,-2.0,5.0,2.0
96,2.0,0.0,1.0
97,2.0,2.0,4.0
98,3.0,5.0,1.0
99,-1.0,2.0,3.0
100,1.0,2.0,3.0
101,0.0,2.0,3.0
102,0.0,4.0,3.0
103,1.0,5.0,2.0
104,2.0,2.0,0.0
105,2.0,5.0,0.0
106,1.0,1.0,1.0
107,0.0,4.0,3.0
108,2.0,2.0,1.0
109,1.0,4.0,1.0
110,1.0,2.0,-1.0
111,4.0,0.0,0.0
112,4.0,0.0,5.0
113,3.0,5.0,0.0
114,3.0,2.0,1.0
115,3.0,4.0,0.0
116,0.0,4.0,0.0
117,4.0,1.0,2.0
118,5.0,2.0,4.0
119,0.0,6.0,4.0
120,2.0,5.0,4.0
121,5.0,5.0,2.0
122,5.0,1.0,-2.0
123,1.0,4.0,0.0
124,6.0,5.0,8.0
125,0.0,1.0,3.0
126,3.0,2.0,-1.0
127,6.0,1.0,5.0
128,5.0,8.0,4.0
129,2.0,1.0,6.0
130,1.0,1.0,0.0
131,3.0,6.0,2.0
132,6.0,3.0,4.0
133,-1.0,0.0,4.0
134,3.0,5.0,6.0
135,4.0,4.0,3.0
136,4.0,5.0,4.0
137,0.0,9.0,6.0
138,7.0,1.0,2.0
139,8.0,5.0,3.0
140,1.0,7.0,0.0
141,6.0,4.0,1.0
142,5.0,4.0,5.0
143,3.0,2.0,0.0
144,6.0,5.0,1.0
145,0.0,5.0,3.0
146,8.0,3.0,3.0
147,2.0,7.0,2.0
148,7.0,5.0,4.0
149,2.0,2.0,5.0
150,5.0,6.0,5.0
151,2.0,6.0,3.0
152,6.0,4.0,7.0
153,3.0,1.0,5.0
154,1.0,5.0,11.0
155,4.0,4.0,1.0
156,3.0,3.0,2.0
157,3.0,8.0,6.0
158,1.0,2.0,0.0
159,4.0,4.0,6.0
160,6.0,4.0,8.0
161,3.0,4.0,5.0
162,1.0,3.0,6.0
163,6.0,7.0,2.0
164,5.0,5.0,2.0
165,4.0,11.0,4.0
166,0.0,6.0,2.0
167,8.0,8.0,-1.0
168,4.0,5.0,2.0
169,3.0,3.0,0.0
170,0.0,5.0,6.0
171,3.0,4.0,5.0
172,2.0,2.0,7.0
173,3.0,6.0,3.0
174,1.0,6.0,4.0
175,6.0,3.0,8.0
176,12.0,8.0,4.0
177,2.0,4.0,4.0
178,8.0,7.0,3.0
179,0.0,5.0,2.0
180,2.0,7.0,3.0
181,4.0,3.0,5.0
182,4.0,3.0,8.0
183,9.0,10.0,6.0
184,11.0,6.0,11.0
185,9.0,3.0,6.0
186,4.0,0.0,0.0
187,9.0,6.0,3.0
188,9.0,2.0,1.0
189,2.0,1.0,7.0
190,3.0,7.0,6.0
191,3.0,2.0,6.0
192,5.0,1.0,5.0
193,3.0,8.0,2.0
194,8.0,9.0,7.0
195,6.0,4.0,4.0
196,5.0,5.0,5.0
197,9.0,4.0,10.0
198,2.0,4.0,5.0
199,-1.0,5.0,7.0
200,2.0,1.0,6.0
201,6.0,9.0,10.0
202,4.0,6.0,5.0
203,6.0,5.0,5.0
204,3.0,9.0,10.0
205,4.0,3.0,1.0
206,9.0,3.0,6.0
207,4.0,2.0,4.0
208,7.0,2.0,9.0
209,5.0,4.0,7.0
210,8.0,4.0,10.0
211,8.0,6.0,5.0
212,5.0,5.0,8.0
213,2.0,1.0,9.0
214,9.0,7.0,7.0
215,3.0,7.0,7.0
216,6.0,7.0,10.0
217,7.0,8.0,8.0
218,9.0,4.0,2.0
219,7.0,7.0,4.0
220,8.0,5.0,6.0
221,7.0,8.0,7.0
222,5.0,12.0,12.0
223,10.0,8.0,9.0
224,6.0,7.0,6.0
225,5.0,6.0,2.0
226,5.0,5.0,5.0
227,7.0,9.0,9.0
228,10.0,6.0,5.0
229,5.0,1.0,7.0
230,4.0,4.0,9.0
231,7.0,9.0,9.0
232,2.0,10.0,6.0
233,8.0,11.0,7.0
234,11.0,2.0,7.0
235,4.0,8.0,2.0
236,7.0,6.0,5.0
237,5.0,7.0,3.0
238,5.0,8.0,8.0
239,11.0,9.0,6.0
240,9.0,7.0,4.0
241,11.0,12.0,4.0
242,12.0,6.0,8.0
243,14.0,6.0,9.0
244,3.0,10.0,16.0
245,7.0,9.0,6.0
246,10.0,9.0,7.0
247,13.0,4.0,14.0
248,6.0,10.0,7.0
249,8.0,8.0,5.0
250,4.0,11.0,10.0
251,11.0,6.0,10.0
252,4.0,9.0,9.0
253,11.0,12.0,6.0
254,6.0,8.0,13.0
255,7.0,11.0,11.0
256,11.0,8.0,7.0
257,2.0,5.0,5.0
258,9.0,6.0,6.0
259,10.0,7.0,13.0
260,8.0,6.0,9.0
261,6.0,2.0,4.0
262,11.0,1.0,6.0
263,7.0,8.0,12.0
264,7.0,12.0,9.0
265,6.0,8.0,7.0
266,10.0,10.0,7.0
267,9.0,11.0,9.0
268,0.0,10.0,3.0
269,7.0,8.0,5.0
270,11.0,7.0,11.0
271,6.0,3.0,6.0
272,6.0,9.0,8.0
273,8.0,13.0,9.0
274,7.0,7.0,13.0
275,9.0,5.0,10.0
276,14.0,5.0,3.0
277,6.0,3.0,10.0
278,8.0,3.0,10.0
279,4.0,8.0,8.0
280,8.0,9.0,9.0
281,5.0,8.0,6.0
282,5.0,6.0,13.0
283,5.0,6.0,5.0
284,8.0,11.0,10.0
285,8.0,7.0,4.0
286,4.0,10.0,13.0
287,8.0,10.0,9.0
288,2.0,8.0,7.0
289,5.0,4.0,10.0
290,4.0,8.0,7.0
291,11.0,6.0,11.0
292,0.0,13.0,4.0
293,9.0,11.0,13.0
294,15.0,10.0,21.0
295,9.0,12.0,7.0
296,3.0,11.0,15.0
297,4.0,10.0,10.0
298,7.0,11.0,10.0
299,4.0,13.0,11.0
