,0.001,0.01,0.1,1.0
0,0.0,-1.0,0.0,-1.0
1,1.0,0.0,1.0,0.0
2,1.0,0.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,1.0,2.0,1.0,0.0
5,0.0,-1.0,1.0,0.0
6,-1.0,0.0,-2.0,-1.0
7,-3.0,0.0,0.0,0.0
8,2.0,0.0,0.0,0.0
9,0.0,0.0,1.0,-1.0
10,-1.0,-1.0,-2.0,0.0
11,1.0,1.0,-1.0,1.0
12,0.0,2.0,2.0,-1.0
13,2.0,1.0,0.0,-1.0
14,1.0,0.0,-1.0,2.0
15,0.0,0.0,-1.0,0.0
16,1.0,0.0,-1.0,0.0
17,0.0,1.0,-1.0,1.0
18,2.0,1.0,0.0,-1.0
19,0.0,0.0,0.0,1.0
20,-1.0,3.0,0.0,0.0
21,1.0,2.0,0.0,1.0
22,0.0,2.0,0.0,0.0
23,-2.0,2.0,1.0,1.0
24,1.0,1.0,-2.0,-4.0
25,-1.0,1.0,-1.0,1.0
26,4.0,1.0,0.0,1.0
27,3.0,2.0,0.0,-1.0
28,0.0,2.0,-1.0,1.0
29,-1.0,-1.0,-1.0,-1.0
30,0.0,1.0,0.0,-1.0
31,0.0,0.0,0.0,-2.0
32,2.0,1.0,0.0,-1.0
33,2.0,1.0,0.0,1.0
34,-1.0,3.0,1.0,0.0
35,2.0,1.0,0.0,0.0
36,0.0,0.0,0.0,1.0
37,0.0,2.0,-1.0,0.0
38,1.0,2.0,1.0,1.0
39,-2.0,0.0,1.0,0.0
40,3.0,2.0,-1.0,1.0
41,1.0,-3.0,-1.0,0.0
42,0.0,1.0,0.0,1.0
43,1.0,-1.0,1.0,0.0
44,0.0,0.0,0.0,0.0
45,4.0,3.0,-1.0,-1.0
46,2.0,3.0,1.0,1.0
47,1.0,0.0,1.0,-1.0
48,0.0,3.0,0.0,2.0
49,4.0,1.0,0.0,1.0
50,-1.0,1.0,2.0,-1.0
51,-1.0,4.0,1.0,-1.0
52,1.0,2.0,-1.0,-1.0
53,-1.0,2.0,1.0,0.0
54,2.0,1.0,0.0,-1.0
55,2.0,1.0,-1.0,-1.0
56,-1.0,1.0,0.0,2.0
57,-2.0,2.0,0.0,0.0
58,1.0,1.0,0.0,-2.0
59,0.0,2.0,1.0,-2.0
60,0.0,-1.0,-1.0,-2.0
61,-2.0,4.0,0.0,1.0
62,0.0,-1.0,0.0,-3.0
63,0.0,2.0,2.0,1.0
64,1.0,2.0,0.0,0.0
65,1.0,3.0,1.0,0.0
66,1.0,3.0,0.0,-2.0
67,3.0,3.0,0.0,1.0
68,1.0,5.0,0.0,2.0
69,1.0,4.0,2.0,-1.0
70,4.0,2.0,2.0,-4.0
71,-1.0,1.0,-2.0,-3.0
72,1.0,3.0,0.0,0.0
73,1.0,2.0,0.0,2.0
74,2.0,1.0,1.0,1.0
75,-1.0,2.0,-1.0,0.0
76,0.0,4.0,0.0,0.0
77,2.0,3.0,-1.0,1.0
78,1.0,1.0,4.0,2.0
79,-2.0,4.0,1.0,-4.0
80,2.0,-1.0,0.0,0.0
81,-1.0,0.0,1.0,-2.0
82,5.0,0.0,-1.0,1.0
83,1.0,4.0,0.0,1.0
84,-2.0,4.0,0.0,1.0
85,0.0,9.0,2.0,1.0
86,2.0,6.0,2.0,-1.0
87,4.0,3.0,1.0,-1.0
88,2.0,2.0,0.0,2.0
89,3.0,5.0,1.0,0.0
90,0.0,3.0,1.0,0.0
91,5.0,5.0,0.0,0.0
92,1.0,3.0,1.0,-1.0
93,3.0,6.0,1.0,2.0
94,6.0,6.0,1.0,1.0
95,1.0,4.0,0.0,1.0
96,4.0,2.0,2.0,0.0
97,3.0,9.0,0.0,-2.0
98,2.0,3.0,2.0,0.0
99,1.0,1.0,3.0,-3.0
100,1.0,0.0,2.0,0.0
101,-1.0,4.0,2.0,0.0
102,1.0,7.0,1.0,-1.0
103,3.0,1.0,-1.0,-1.0
104,0.0,2.0,2.0,-2.0
105,0.0,-1.0,3.0,0.0
106,5.0,0.0,0.0,-5.0
107,2.0,-1.0,1.0,-3.0
108,3.0,5.0,3.0,-3.0
109,2.0,3.0,0.0,-4.0
110,3.0,2.0,1.0,-2.0
111,6.0,4.0,0.0,0.0
112,1.0,9.0,0.0,-4.0
113,3.0,6.0,1.0,0.0
114,5.0,5.0,1.0,-1.0
115,4.0,5.0,1.0,2.0
116,9.0,2.0,2.0,5.0
117,-1.0,1.0,6.0,-2.0
118,3.0,1.0,2.0,-3.0
119,4.0,4.0,0.0,-1.0
120,4.0,5.0,0.0,2.0
121,3.0,1.0,-1.0,0.0
122,1.0,1.0,-2.0,0.0
123,2.0,6.0,1.0,-1.0
124,4.0,5.0,1.0,-1.0
125,1.0,1.0,2.0,0.0
126,0.0,3.0,2.0,1.0
127,3.0,5.0,-2.0,-1.0
128,2.0,6.0,1.0,0.0
129,7.0,5.0,3.0,2.0
130,3.0,1.0,1.0,1.0
131,3.0,9.0,5.0,2.0
132,-2.0,5.0,2.0,2.0
133,3.0,6.0,2.0,-1.0
134,0.0,0.0,2.0,1.0
135,7.0,3.0,1.0,0.0
136,5.0,0.0,2.0,0.0
137,0.0,10.0,3.0,-1.0
138,4.0,2.0,5.0,0.0
139,4.0,5.0,0.0,0.0
140,6.0,4.0,1.0,1.0
141,3.0,7.0,2.0,0.0
142,3.0,6.0,7.0,-1.0
143,2.0,1.0,5.0,1.0
144,5.0,0.0,3.0,-2.0
145,4.0,1.0,3.0,1.0
146,5.0,4.0,1.0,1.0
147,15.0,8.0,0.0,-1.0
148,0.0,1.0,3.0,0.0
149,5.0,4.0,-1.0,2.0
150,6.0,3.0,3.0,1.0
151,2.0,5.0,2.0,0.0
152,3.0,7.0,2.0,0.0
153,1.0,1.0,4.0,-3.0
154,5.0,5.0,1.0,0.0
155,0.0,3.0,1.0,1.0
156,10.0,4.0,4.0,0.0
157,5.0,4.0,3.0,1.0
158,6.0,10.0,5.0,0.0
159,4.0,4.0,3.0,-1.0
160,6.0,5.0,4.0,1.0
161,1.0,5.0,1.0,-1.0
162,7.0,8.0,3.0,-2.0
163,6.0,5.0,4.0,-1.0
164,1.0,10.0,3.0,-2.0
165,1.0,3.0,10.0,-2.0
166,3.0,11.0,6.0,2.0
167,3.0,3.0,8.0,2.0
168,5.0,6.0,3.0,-1.0
169,3.0,0.0,2.0,0.0
170,7.0,3.0,5.0,1.0
171,4.0,5.0,7.0,-1.0
172,2.0,6.0,3.0,0.0
173,8.0,9.0,4.0,1.0
174,3.0,4.0,0.0,-1.0
175,4.0,12.0,4.0,0.0
176,3.0,8.0,-1.0,0.0
177,4.0,0.0,9.0,0.0
178,9.0,3.0,8.0,0.0
179,3.0,7.0,3.0,0.0
180,2.0,8.0,6.0,0.0
181,12.0,7.0,5.0,0.0
182,8.0,4.0,2.0,0.0
183,9.0,7.0,5.0,-3.0
184,1.0,6.0,0.0,-1.0
185,7.0,5.0,4.0,0.0
186,6.0,2.0,1.0,0.0
187,1.0,2.0,6.0,-1.0
188,3.0,9.0,1.0,-2.0
189,8.0,7.0,3.0,2.0
190,5.0,4.0,4.0,-1.0
191,5.0,3.0,5.0,-1.0
192,7.0,6.0,4.0,2.0
193,5.0,3.0,2.0,2.0
194,4.0,1.0,3.0,-1.0
195,10.0,12.0,5.0,1.0
196,8.0,5.0,5.0,0.0
197,3.0,12.0,6.0,2.0
198,1.0,4.0,5.0,1.0
199,3.0,6.0,11.0,2.0
200,8.0,3.0,2.0,2.0
201,3.0,5.0,6.0,4.0
202,7.0,7.0,6.0,0.0
203,4.0,10.0,0.0,3.0
204,2.0,11.0,1.0,1.0
205,1.0,3.0,5.0,-2.0
206,13.0,10.0,8.0,1.0
207,6.0,10.0,9.0,0.0
208,6.0,10.0,9.0,1.0
209,2.0,9.0,7.0,-2.0
210,9.0,4.0,8.0,2.0
211,9.0,4.0,7.0,3.0
212,11.0,8.0,4.0,3.0
213,5.0,3.0,10.0,0.0
214,8.0,8.0,7.0,-1.0
215,4.0,5.0,12.0,6.0
216,9.0,8.0,8.0,1.0
217,7.0,6.0,3.0,1.0
218,9.0,9.0,4.0,2.0
219,12.0,11.0,4.0,-1.0
220,11.0,6.0,2.0,-2.0
221,8.0,8.0,6.0,5.0
222,6.0,9.0,5.0,2.0
223,9.0,9.0,10.0,1.0
224,8.0,12.0,8.0,1.0
225,8.0,8.0,8.0,2.0
226,8.0,4.0,4.0,0.0
227,9.0,7.0,5.0,5.0
228,8.0,9.0,4.0,2.0
229,6.0,8.0,3.0,3.0
230,8.0,5.0,8.0,0.0
231,8.0,8.0,4.0,0.0
232,8.0,5.0,15.0,-1.0
233,4.0,6.0,8.0,3.0
234,8.0,9.0,9.0,1.0
235,8.0,5.0,10.0,5.0
236,2.0,10.0,1.0,2.0
237,1.0,6.0,2.0,2.0
238,7.0,7.0,8.0,2.0
239,8.0,6.0,11.0,2.0
240,9.0,1.0,13.0,2.0
241,9.0,8.0,12.0,0.0
242,9.0,9.0,7.0,1.0
243,9.0,7.0,6.0,-1.0
244,11.0,3.0,3.0,0.0
245,6.0,8.0,10.0,1.0
246,9.0,9.0,7.0,3.0
247,10.0,14.0,10.0,4.0
248,11.0,3.0,9.0,2.0
249,3.0,9.0,11.0,2.0
250,2.0,5.0,9.0,3.0
251,7.0,4.0,10.0,0.0
252,12.0,7.0,6.0,2.0
253,3.0,10.0,6.0,4.0
254,8.0,8.0,9.0,0.0
255,10.0,13.0,3.0,-2.0
256,9.0,11.0,11.0,4.0
257,10.0,4.0,4.0,5.0
258,5.0,8.0,10.0,0.0
259,5.0,14.0,7.0,4.0
260,6.0,7.0,10.0,3.0
261,14.0,9.0,6.0,0.0
262,7.0,10.0,5.0,5.0
263,7.0,10.0,9.0,5.0
264,4.0,10.0,5.0,4.0
265,8.0,10.0,5.0,5.0
266,9.0,5.0,7.0,4.0
267,4.0,5.0,7.0,4.0
268,7.0,8.0,8.0,11.0
269,8.0,8.0,6.0,7.0
270,10.0,8.0,11.0,4.0
271,3.0,7.0,9.0,2.0
272,10.0,12.0,6.0,6.0
273,3.0,10.0,-2.0,4.0
274,8.0,6.0,9.0,3.0
275,7.0,3.0,5.0,7.0
276,12.0,9.0,6.0,1.0
277,8.0,6.0,8.0,4.0
278,14.0,7.0,5.0,7.0
279,9.0,8.0,12.0,10.0
280,7.0,15.0,6.0,5.0
281,9.0,8.0,6.0,4.0
282,8.0,9.0,9.0,5.0
283,4.0,6.0,10.0,4.0
284,4.0,9.0,12.0,7.0
285,8.0,11.0,13.0,3.0
286,9.0,6.0,8.0,2.0
287,12.0,6.0,9.0,5.0
288,8.0,9.0,2.0,7.0
289,5.0,7.0,5.0,5.0
290,9.0,8.0,5.0,0.0
291,12.0,12.0,12.0,5.0
292,8.0,6.0,10.0,7.0
293,7.0,11.0,14.0,8.0
294,9.0,4.0,0.0,6.0
295,16.0,15.0,5.0,7.0
296,11.0,10.0,8.0,8.0
297,12.0,9.0,13.0,4.0
298,10.0,10.0,13.0,8.0
299,10.0,4.0,5.0,0.0
